country,clade,origin,newest,mrca,sample_oldest,par_name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
egypt,221,2004.88(2004.48:2004.93),2011.318,2004.9328,2006.07,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,10.95(0.14:34.43),4.13(1.52:7.55),2.96(1.14:5.94),1.96(0.66:4.29),2.4(0.96:4.85),2.33(0.78:4.89),1.44(0.35:3.26),2.06(0.0:8.05),0,0,0,0,0,0,0,
egypt,221,2004.88(2004.48:2004.93),2011.318,2004.9328,2006.07,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66(0.0:4.33),1.66(0.0:4.33),1.66(0.0:4.33),1.66(0.0:4.33),1.66(0.0:4.33),1.66(0.0:4.33),1.66(0.0:4.33),1.66(0.0:4.33),0,0,0,0,0,0,0,
egypt,221,2004.88(2004.48:2004.93),2011.318,2004.9328,2006.07,psi,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43(0.0:12.82),0.1(0.0:0.48),0.41(0.12:0.88),0.59(0.18:1.21),0.95(0.3:1.83),0.66(0.17:1.33),1.52(0.46:2.77),9.88(1.99:20.65),0,0,0,0,0,0,0,
china,72,1998.98(1995.4:1999.43),2015.041,1999.4271,2008.96,R,0,0,0,0,0,0,0,0,1.79(0.0:9.08),0.8(0.0:4.82),0.78(0.0:4.71),0.78(0.0:4.77),1.77(0.02:7.29),0.71(0.0:4.02),0.67(0.0:3.72),1.43(0.01:6.53),2.39(0.16:9.27),2.11(0.4:5.68),0.4(0.01:1.18),1.1(0.16:2.95),1.69(0.36:5.36),0.83(0.19:1.78),0.52(0.07:1.28),0.1(0.0:0.47),3.74(0.0:152.11),0,0,0,
china,72,1998.98(1995.4:1999.43),2015.041,1999.4271,2008.96,exp_r,0,0,0,0,0,0,0,0,0.48(-1.53:3.46),-0.1(-1.48:1.62),-0.11(-1.55:1.57),-0.11(-1.62:1.61),0.37(-0.86:2.12),-0.12(-1.08:1.05),-0.14(-1.16:0.99),0.2(-0.85:1.49),0.55(-0.31:1.67),0.48(-0.2:1.38),-0.36(-0.92:0.23),0.05(-0.56:0.76),0.28(-0.25:0.97),-0.12(-0.72:0.5),-0.38(-1.08:0.25),-2.29(-4.48:-0.49),36.94(-79.75:183.08),0,0,0,
china,72,1998.98(1995.4:1999.43),2015.041,1999.4271,2008.96,lam,0,0,0,0,0,0,0,0,1.21(0.01:3.82),0.49(0.0:2.01),0.46(0.0:1.95),0.48(0.0:2.03),0.91(0.03:2.57),0.34(0.0:1.45),0.33(0.0:1.4),0.7(0.01:1.95),0.98(0.21:2.17),0.91(0.23:2.05),0.25(0.0:0.8),0.56(0.09:1.37),0.7(0.21:1.52),0.6(0.17:1.26),0.41(0.07:0.93),0.25(0.0:1.04),55.74(0.02:167.14),0,0,0,
china,72,1998.98(1995.4:1999.43),2015.041,1999.4271,2008.96,mu,0,0,0,0,0,0,0,0,0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0.26(0.0:0.88),0,0,0,
china,72,1998.98(1995.4:1999.43),2015.041,1999.4271,2008.96,psi,0,0,0,0,0,0,0,0,0.29(0.0:1.69),0.25(0.0:1.22),0.26(0.0:1.27),0.26(0.0:1.28),0.18(0.0:0.89),0.15(0.0:0.76),0.16(0.0:0.8),0.16(0.0:0.76),0.09(0.0:0.44),0.13(0.0:0.4),0.32(0.05:0.72),0.2(0.02:0.54),0.11(0.0:0.33),0.41(0.1:0.83),0.48(0.14:0.95),2.28(0.64:4.41),12.8(0.0:80.12),0,0,0,
china,2344,2008.94(2008.76:2008.96),2018.195,2008.9641,2012.05,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76(0.03:22.99),1.19(0.02:4.1),2.12(0.45:5.1),0.4(0.0:1.38),0.79(0.16:1.97),1.63(1.09:2.45),1.11(0.78:1.61),0.73(0.46:1.0),0.12(0.0:0.35),0.8(0.0:3.96),3.27(0.0:35.18),
china,2344,2008.94(2008.76:2008.96),2018.195,2008.9641,2012.05,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4(-17.45:68.38),0.24(-1.75:2.5),1.24(-0.18:3.51),-0.55(-1.9:0.5),-0.28(-1.58:0.95),1.3(0.25:2.38),0.24(-0.5:0.98),-0.77(-1.62:0.01),-3.9(-6.02:-1.98),-0.31(-3.45:3.62),8.65(-16.12:39.12),
china,2344,2008.94(2008.76:2008.96),2018.195,2008.9641,2012.05,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.88(0.23:69.4),1.54(0.06:4.08),2.38(0.24:5.74),0.37(0.0:2.36),1.06(0.17:2.6),3.25(1.8:5.48),2.25(1.37:3.69),1.96(1.1:3.39),0.53(0.01:1.58),1.35(0.0:4.79),13.36(0.01:37.34),
china,2344,2008.94(2008.76:2008.96),2018.195,2008.9641,2012.05,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),0.99(0.0:2.93),
china,2344,2008.94(2008.76:2008.96),2018.195,2008.9641,2012.05,psi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12(0.0:22.78),0.16(0.0:0.92),0.06(0.0:0.39),0.04(0.0:0.27),0.27(0.02:0.78),0.91(0.44:1.51),0.94(0.4:1.52),1.69(0.86:2.51),3.36(1.3:5.53),0.49(0.0:2.46),2.39(0.0:14.55),
indonesia,2321c,2010.73(2009.82:2010.85),2016.26,2010.849,2012.78,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1(0.01:10.55),2.22(0.47:8.31),1.52(0.56:3.8),1.33(0.62:2.62),0.6(0.1:1.24),2.78(0.38:18.61),5.1(0.0:30.79),0,0,
indonesia,2321c,2010.73(2009.82:2010.85),2016.26,2010.849,2012.78,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19(-4.8:13.72),1.28(-0.35:3.42),0.58(-0.36:1.68),0.41(-0.51:1.31),-0.62(-1.77:0.44),1.52(-0.11:3.54),5.66(-1.88:14.49),0,0,
indonesia,2321c,2010.73(2009.82:2010.85),2016.26,2010.849,2012.78,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74(0.07:15.22),2.38(0.49:5.32),1.57(0.39:4.33),1.58(0.52:3.94),0.87(0.11:2.5),2.44(0.4:5.61),7.02(0.03:14.83),0,0,
indonesia,2321c,2010.73(2009.82:2010.85),2016.26,2010.849,2012.78,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78(0.0:3.11),0.78(0.0:3.11),0.78(0.0:3.11),0.78(0.0:3.11),0.78(0.0:3.11),0.78(0.0:3.11),0.78(0.0:3.11),0,0,
indonesia,2321c,2010.73(2009.82:2010.85),2016.26,2010.849,2012.78,psi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05(0.0:5.84),0.13(0.0:0.66),0.17(0.01:0.48),0.3(0.04:0.73),0.57(0.08:1.28),0.01(0.0:0.09),0.23(0.0:1.7),0,0,
indonesia,213,2003.87(2003.48:2003.92),2007.986,2003.9236,2006.58,R,0,0,0,0,0,0,0,0,0,0,0,0,3.31(0.02:16.06),0.69(0.0:2.59),1.02(0.01:3.66),1.22(0.32:2.83),1.56(0.52:3.84),0,0,0,0,0,0,0,0,0,0,0,
indonesia,213,2003.87(2003.48:2003.92),2007.986,2003.9236,2006.58,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,7.4(-9.68:37.43),-0.34(-2.4:1.81),0.02(-1.78:2.08),0.4(-1.34:2.16),1.19(-0.76:3.27),0,0,0,0,0,0,0,0,0,0,0,
indonesia,213,2003.87(2003.48:2003.92),2007.986,2003.9236,2006.58,lam,0,0,0,0,0,0,0,0,0,0,0,0,11.61(0.07:38.39),0.81(0.0:4.29),1.25(0.02:4.29),2.18(0.55:4.82),3.15(1.29:6.04),0,0,0,0,0,0,0,0,0,0,0,
indonesia,213,2003.87(2003.48:2003.92),2007.986,2003.9236,2006.58,mu,0,0,0,0,0,0,0,0,0,0,0,0,0.93(0.0:3.87),0.93(0.0:3.87),0.93(0.0:3.87),0.93(0.0:3.87),0.93(0.0:3.87),0,0,0,0,0,0,0,0,0,0,0,
