########## MCMC Condition  #############
# file_path : 190528_001911.txt
# parameters : mu, sigma, PReward, beta
# setting,{ 'nSim' : 1000000 , 'nThin' : 1000}
#
########### MCMC Chain #############
sample,loglikelihood,mu,sigma,PReward,beta,time (sec/M)
52000,-1192.7889567609598,0.35235477637280777,7.0573364737460285,0.16759663145357467,111.60510799343811,203.68200000000002
53000,-1192.5184890940718,0.3581628554755065,6.978664415625676,0.1553702003922262,120.74985635980278,204.373
54000,-1195.4084439488745,0.6940165159769027,6.699098760131973,0.1612817890152879,109.04994881685758,201.69100000000003
55000,-1191.2187151825076,0.1763867977208159,7.328106995966591,0.14198276003156415,129.2434147829557,204.50699999999998
56000,-1193.251738903159,0.7856632498743374,7.023853570130064,0.154134941687686,113.3683251299697,207.119
57000,-1192.9562053077273,0.5975284022877029,7.219801768611396,0.15095271826033418,110.77909905326143,221.705
58000,-1192.230242779138,0.08141229772195666,7.190947578282044,0.15949371889446984,121.63687756368921,211.67
59000,-1191.3310941644095,0.20181776858317443,7.218635589232949,0.1434457691532862,129.16769482457704,207.152
60000,-1192.7622355371595,0.20372368341369526,7.241473268927851,0.12661910734009202,153.92414826075435,204.035
61000,-1196.228815393222,1.0901611057224283,6.873185366465208,0.11414730972410808,157.40241665314244,213.588
62000,-1191.4254884936308,0.22858229166790217,7.206672482449052,0.11601096745567177,161.23967208283167,216.32399999999998
63000,-1191.9608167247202,0.009671949250542298,7.766595622512621,0.11901128320620326,149.29652032377805,206.352
64000,-1193.4473088367067,0.7157967500919191,6.687028404785977,0.11323259531393812,171.30648370701195,215.91199999999998
65000,-1191.732382920399,0.32266342789674984,6.936300940692976,0.12339039597597326,158.13417605754552,233.066
66000,-1192.2838020744039,0.17192927420018425,7.336426680037945,0.13140337485641695,145.45895350651685,211.023
67000,-1194.044237656683,1.3210332685775095,6.533434195841645,0.12600858052672162,137.39638438971758,214.792
68000,-1196.2593628188044,1.8605805212292474,7.167843024082796,0.13021914906710225,107.97295545126957,215.002
69000,-1191.6063643409166,0.32899196098957467,7.019873705479359,0.12824682388978761,147.30201157207222,217.683
70000,-1191.3105416930075,0.09955469583405414,7.4737789557979815,0.1323530270803726,139.51252786884436,208.367
71000,-1193.2876229778178,0.841670819155625,7.503587948152597,0.125092616355999,128.68823307468838,221.12399999999997
72000,-1191.9983805005847,0.06207891078926232,7.36053626866303,0.11894243305620908,165.33538219187867,205.66499999999996
73000,-1193.4729173520482,0.74119525428819,7.616911734579842,0.13005181974928637,121.93392838697865,214.778
74000,-1190.9471164556257,0.03860794901200969,7.380042566726422,0.12432159761896744,152.74883764025222,207.99699999999999
75000,-1193.3392893159394,0.4690221036245712,7.38857237320767,0.12024576620254793,149.1872493544871,207.13300000000004
76000,-1192.2548267318903,0.18965425738267688,6.90381010315636,0.1336949615563311,147.52969970338458,211.434
77000,-1194.667956818605,0.8371194680972998,6.445102031869522,0.11845366367815313,163.9601580146327,212.53
78000,-1192.0239567911378,0.2575453832225646,7.514236503074159,0.09953450627381465,179.12728850296048,208.247
79000,-1192.6931891202255,0.4182469840491519,7.186381005035875,0.10813417441439885,177.40816548900185,204.62900000000002
80000,-1192.784909252882,0.36613216131091225,7.0824008517813875,0.11540657048727694,168.80382182283583,206.63000000000002
81000,-1192.165464302669,0.41907811691302777,7.577747617666938,0.11140827504644353,157.1178479019019,214.071
82000,-1191.6342930883088,0.6704354229043544,6.793890064861406,0.10675945231329984,178.74089227143963,209.547
83000,-1192.0580454033532,1.1586355713857428,6.968220079356065,0.1054620371776795,157.96063072630358,206.596
84000,-1192.9456005611703,0.8817425106805115,6.702129202092057,0.09618274157512105,191.4179657539071,214.931
85000,-1191.2639453631905,0.3080668771077424,7.02092406730073,0.09025057710252228,221.38048105920498,218.159
86000,-1192.2522685853048,0.568790516131255,7.56938674498145,0.08782848627424046,194.65932312143505,210.664
87000,-1190.3909518685334,0.004259070534700038,7.386141485102557,0.0885545281535839,220.43501648842354,240.936
